id,title,company,company_url,location,salary,work_mode,contract_type,workday,search_date,search_term
2190,Desarrollador/a full stack .NET + React (100% remoto),knowmad Mood,https://at-sistemas.ofertas-trabajo.infojobs.net/,Madrid,No disponible,Solo teletrabajo,Contrato indefinido,Jornada completa,2025-03-29 09:08:34.572339,Full stack
2191,"Desarrollador/a Full Stack PHP + JavaScript (NodeJS, Next.js..)",CLICKITPOINT,https://www.infojobs.net/clickitpoint/em-i66565257515548677673671007224451803469,Madrid,30.000 € - 36.000 € Bruto/año,Solo teletrabajo,Contrato indefinido,Jornada completa,2025-03-29 09:08:34.700971,Full stack
2192,Programador/a Full Stack Typescript/Javascript - Full Remote,TraffGen,https://www.infojobs.net/traffgen/em-i98555051555355841149711019084273113086,San Roque,50.000 € - 60.000 € Bruto/año,Solo teletrabajo,Contrato indefinido,Jornada completa,2025-03-29 09:08:34.796968,Full stack
2193,Lead Full-Stack Senior React - Ingeniero/a desarrollador Firmware y Software Embebido C# & C++,TRBL Services,https://www.infojobs.net/trbl-services/em-i98565455505053841141059015215767600478,Madrid,Más de 30.000 €,Híbrido,Contrato indefinido,Jornada completa,2025-03-29 09:08:34.914857,Full stack
2194,Programador/a Full Stack Java Angular - Remoto,METRICA CONSULTING,https://metrica.ofertas-trabajo.infojobs.net/,Málaga,30.000 € - 36.000 € Bruto/año,Solo teletrabajo,Contrato indefinido,Jornada completa,2025-03-29 09:08:35.039909,Full stack
2195,Full Stack Developer Python / Javascript / Angular,SEREM Consultoría Empresarial,https://serem.ofertas-trabajo.infojobs.net/,Madrid,No disponible,Híbrido,Contrato indefinido,Jornada completa,2025-03-29 09:08:35.128654,Full stack
2196,Desarrollador Full-Stack .NET,EIKONDATA,https://www.infojobs.net/eikondata/em-i98565355534151697375795011236420603996,Madrid,No disponible,Solo teletrabajo,Contrato indefinido,Jornada completa,2025-03-29 09:08:35.213808,Full stack
2197,Desarrollador Full Stack Web,GRUPO MIGUEL LEON SOCIEDAD LIMITADA.,https://www.infojobs.net/grupo-miguel-leon-sociedad-limitada./em-i98555450515453718285805021286857908158,Las Palmas de Gran Canaria,19.000 € - 24.000 € Bruto/año,Presencial,Contrato indefinido,Jornada completa,2025-03-29 09:08:35.303964,Full stack
2198,Programador/a Full Stack Java+React (Inglés C1),Luca TIC,https://luca-tic.ofertas-trabajo.infojobs.net/,Madrid,No disponible,Híbrido,Contrato indefinido,Jornada completa,2025-03-29 09:08:35.402777,Full stack
2199,"Desarrollador/a Full Stack con .Net (C#, Angular, Azure) (Híbrido) Ref Agm",Abalia,https://abalia.ofertas-trabajo.infojobs.net/,Madrid,33.000 € - 36.000 € Bruto/año,Híbrido,Contrato de duración determinada,Jornada completa,2025-03-29 09:08:35.490543,Full stack
2200,Full Stack Developer,Glowth Talent,https://adtz-long-tail.ofertas-trabajo.infojobs.net/,Lleida,22.000 € - 27.000 € Bruto/año,Presencial,Contrato indefinido,Jornada completa,2025-03-29 09:08:35.57757,Full stack
2201,Full-Stack Java / Angular / AWS - Proyecto Internacional (Inglés),Aubay,https://aubay.ofertas-trabajo.infojobs.net/,Barcelona,No disponible,Híbrido,Contrato indefinido,Jornada completa,2025-03-29 09:08:35.66263,Full stack
2202,Desarrollador/a Full stack FREELANCE,CIVIR,https://civir.ofertas-trabajo.infojobs.net/,Madrid,No disponible,Solo teletrabajo,Contrato autónomo,Jornada completa,2025-03-29 09:08:35.749827,Full stack
2203,Desarrollador/a Full Stack,Birditech,https://www.infojobs.net/birditech/em-i98555351504452667382682025114582209287,Alcalá de Guadaíra,No disponible,Híbrido,Contrato indefinido,Jornada completa,2025-03-29 09:08:35.836439,Full stack
2204,Desarrollador/a Full Stack,BSG MARKETING DIGITAL SL.,https://www.infojobs.net/bsg-marketing-digital-sl./em-i98494854574449668371327022064489702922,Madrid,40.000 € - 40.000 € Bruto/año,Presencial,Contrato indefinido,Jornada completa,2025-03-29 09:08:35.924138,Full stack
2205,Programador Full Stack – Experiencia Java/NodeJS/Spring Boot/Angular – Modalidad hibrida – Inglés Alto,PSS,https://pss.ofertas-trabajo.infojobs.net/,Madrid,28.000 € - 33.000 € Bruto/año,Híbrido,Contrato indefinido,Jornada completa,2025-03-29 09:08:36.011797,Full stack
2206,Full Stack Developer,ISPROX,https://isprox.ofertas-trabajo.infojobs.net/,Barcelona,36.000 € - 50.000 € Bruto/año,Híbrido,Contrato indefinido,Jornada completa,2025-03-29 09:08:36.100177,Full stack
2207,Desarrollador/a Full Stack React + Java Spring,Aubay,https://aubay.ofertas-trabajo.infojobs.net/,Madrid,25.000 € - 45.000 € Bruto/año,"Hace 1d
(Publicada de nuevo)",Contrato indefinido,Jornada completa,2025-03-29 09:08:36.188959,Full stack
2208,Full Stack Tech Lead,MAHOU SAN MIGUEL,https://grupo-mahou-sanmiguel.ofertas-trabajo.infojobs.net/,Madrid,No disponible,Hace 2d,Contrato indefinido,Jornada completa,2025-03-29 09:08:36.274751,Full stack
2209,Programador/a Full Stack,CoordinaFit,https://www.infojobs.net/coordinafit/em-i98554952525653846576695023226343401391,Aranguren,30.000 € - 39.000 € Bruto/año,Presencial,Contrato indefinido,Jornada completa,2025-03-29 09:08:36.363603,Full stack
2210,Desarrollador full stack Golang,TECDATA ENGINEERING,https://tecdata.ofertas-trabajo.infojobs.net/,Madrid,No disponible,Híbrido,Contrato indefinido,Jornada completa,2025-03-29 09:08:36.448672,Full stack
2211,Full Stack Developer,DTBird,https://www.infojobs.net/dtbird/em-i11152524531004350904605352251,Madrid,No disponible,Híbrido,Contrato indefinido,Jornada completa,2025-03-29 09:08:36.533697,Full stack
2212,Full Stack (.NET & React),START PEOPLE SL.,https://www.infojobs.net/start-people-sl./em-i98484956555955838465821020183425312281,Madrid,30.000 € - 36.000 € Bruto/año,Solo teletrabajo,Contrato de duración determinada,Jornada completa,2025-03-29 09:08:42.767462,Full stack
2213,Fullstack Java Developer (Madrid),VIEWNEXT Profesionales,https://viewnext.ofertas-trabajo.infojobs.net/,Madrid,No disponible,Híbrido,Contrato indefinido,Jornada completa,2025-03-29 09:08:42.855819,Full stack
2214,Programador/a Full Stack (JAVA/REACT),Getronics,https://getronics.ofertas-trabajo.infojobs.net/,Madrid,No disponible,Solo teletrabajo,Contrato indefinido,Jornada completa,2025-03-29 09:08:42.952641,Full stack
2215,Full Stack PHP Laravel developer REMOTO,"Infortec Consultores, S.A.U",https://infortec.ofertas-trabajo.infojobs.net/,Madrid,No disponible,Solo teletrabajo,Contrato indefinido,Jornada completa,2025-03-29 09:08:43.042614,Full stack
2216,Programador/a Full Stack,PANADERO AB SOCIEDAD LIMITADA.,https://www.infojobs.net/panadero-ab-sociedad-limitada./em-i98485054495852806578655019153457100791,Albacete,21.000 € - 30.000 € Bruto/año,Presencial,Contrato indefinido,Jornada completa,2025-03-29 09:08:43.13216,Full stack
2217,Full Stack Developer (Inglés alto),M & GT Consulting,https://mgt-consulting.ofertas-trabajo.infojobs.net/,Madrid,30.000 € - 36.000 € Bruto/año,Solo teletrabajo,Contrato indefinido,Jornada completa,2025-03-29 09:08:43.220053,Full stack
2218,Full Stack Javascript (React y Node) Junior,"TEINOR, S.A.",https://www.infojobs.net/teinor-s.a./em-i964356424526202850193215154904,Barcelona,No disponible,Híbrido,Contrato indefinido,Jornada completa,2025-03-29 09:08:43.305672,Full stack
2219,Desarrollador/a Full Stack – React & Ruby,"ALVEA SOLUCIONES TECNOLOGICAS, S.L.",https://alvea.ofertas-trabajo.infojobs.net/,Madrid,No disponible,Híbrido,Contrato indefinido,Jornada completa,2025-03-29 09:08:43.397169,Full stack
2220,Programador Full Stack Junior,APROBATUS SCHOOL,https://aprobatus.ofertas-trabajo.infojobs.net/,Tarragona,19.000 € - 21.000 € Bruto/año,Presencial,Contrato indefinido,Jornada completa,2025-03-29 09:08:43.486077,Full stack
2221,Programador/a Full Stack,Multibreves Network,https://www.infojobs.net/multibreves-network/em-i98505555575952771171088014264319908881,Nigrán,2000 € - 2300 € Bruto/mes,Presencial,Contrato indefinido,Jornada completa,2025-03-29 09:08:43.573944,Full stack
2222,Desarrollo GIS Software (Full Stack .NET),Tracasa,https://www.infojobs.net/tracasa/em-i65514949495049841149798006305603708694,Egüés,No disponible,Presencial,Contrato de duración determinada,Jornada completa,2025-03-29 09:08:43.65972,Full stack
2223,Desarrollador/a Full Stack (PHP - Laravel - MySQL),C.E. Consulting Empresarial,https://www.infojobs.net/c.e.-consulting-empresarial/em-i964752524526202250443215755366,Madrid,No disponible,Hace 3d,Contrato indefinido,Jornada completa,2025-03-29 09:08:43.760725,Full stack
2224,Full Stack Developer,ACTIVACANARIAS RRHH,https://activacanarias.ofertas-trabajo.infojobs.net/,Puerto del Rosario,No disponible,Presencial,Contrato otros contratos,Jornada indiferente,2025-03-29 09:08:43.845762,Full stack
2225,Desarrollador Full Stack Senior,Luca TIC,https://luca-tic.ofertas-trabajo.infojobs.net/,Madrid,No disponible,Híbrido,Contrato indefinido,Jornada completa,2025-03-29 09:08:43.930838,Full stack
2226,Desarrollador/a Full Stack con experiencia en MVC,Cifra Educación S.L.,https://www.infojobs.net/cifra-educacion-s.l./em-i98515756495254671051023016153556503255,Santander,26.000 € - 30.000 € Bruto/año,Híbrido,Contrato indefinido,Jornada intensiva - mañana,2025-03-29 09:08:44.019455,Full stack
2227,Full Stack developer,KINGS CORNER FORMACION SL.,https://www.infojobs.net/kings-corner-formacion-sl./em-i98575752525452757378713022148197101137,Zaragoza,No disponible,Presencial,Contrato indefinido,Jornada completa,2025-03-29 09:08:44.105752,Full stack
2228,Desarrollador/a Full Stack,OPTIMA SERVICIOS DE MARKETING DIRECTO SL.,https://www.infojobs.net/optima-servicios-de-marketing-directo-sl./em-i536957524535007511525045141014,Cornellà de Llobregat,Más de 26.000 €,Presencial,Contrato indefinido,Jornada completa,2025-03-29 09:08:44.194297,Full stack
2229,Jr. Full Stack Developer PHP,Green Software,https://www.infojobs.net/green-software/em-i25354524539106550126655654341,Gijón,21.000 € - 24.000 € Bruto/año,Híbrido,Contrato indefinido,Jornada completa,2025-03-29 09:08:44.281904,Full stack
2230,Desarrollador Full Stack,Atento España - Estructura,https://atento.ofertas-trabajo.infojobs.net/,Madrid,No disponible,Híbrido,Contrato indefinido,Jornada completa,2025-03-29 09:08:44.367761,Full stack
2231,Full-Stack Developer (Hybrid – Málaga City/Province Only) | Cryptocurrency Industry,Empresa anónima,https://www.infojobs.net/empresa-anonima/em-iab22777ba643d28c38b837866d9aae,Málaga,No disponible,Híbrido,Contrato indefinido,Jornada completa,2025-03-29 09:08:44.497029,Full stack
2232,Desarrollador/a full stack .NET + React (100% remoto),knowmad Mood,https://at-sistemas.ofertas-trabajo.infojobs.net/,Madrid,No disponible,Solo teletrabajo,Contrato indefinido,Jornada completa,2025-03-29 09:08:44.59846,Full stack
2233,Programador Junior Full Stack Java,"Fundación Esplai, Ciudadania Comprometida",https://fundacionesplai.ofertas-trabajo.infojobs.net/,Málaga,13.000 € - 19.000 € Bruto/año,Presencial,Contrato otros contratos,Jornada intensiva - indiferente,2025-03-29 09:08:44.719973,Full stack
2234,Programador/a Senior Angular Node.js,CAS Training,https://cas-training.ofertas-trabajo.infojobs.net/,Barcelona,33.000 € - 36.000 € Bruto/año,Híbrido,Contrato indefinido,Jornada completa,2025-03-29 09:08:50.971455,Full stack
2235,Desarrollador Fullstack .Net,"UDIT, Universidad de Diseño, Innovación y Tecnología.",https://udit.ofertas-trabajo.infojobs.net/,Madrid,No disponible,Presencial,Contrato indefinido,Jornada completa,2025-03-29 09:08:51.0635,Full stack
2236,Desarrollador/a Full Stack,Entersoftweb,https://www.infojobs.net/entersoftweb/em-i962554524526202150683215051048,Málaga,30.000 € - 39.000 € Bruto/año,Solo teletrabajo,Contrato indefinido,Jornada intensiva - mañana,2025-03-29 09:08:51.152392,Full stack
2237,"Desarrollador/a Full Stack PHP + JavaScript (NodeJS, Next.js..)",CLICKITPOINT,https://www.infojobs.net/clickitpoint/em-i66565257515548677673671007224451803469,Madrid,30.000 € - 36.000 € Bruto/año,Solo teletrabajo,Contrato indefinido,Jornada completa,2025-03-29 09:08:51.282121,Full stack
2238,Programador/a Full Stack – Experiencia en React/Ruby on Rails – Modalidad Hibrida (Solo un día a la oficina) – Cliente Bancario,PSS,https://pss.ofertas-trabajo.infojobs.net/,Madrid,33.000 € - 39.000 € Bruto/año,Híbrido,Contrato indefinido,Jornada completa,2025-03-29 09:08:51.376993,Full stack
2239,Desarrollador/a Full Stack .NET - REACT_ Hasta 43K_Híbrido,BIGZON,https://bigzon.ofertas-trabajo.infojobs.net/,Barcelona,40.000 € - 43.000 € Bruto/año,Híbrido,Contrato indefinido,Jornada completa,2025-03-29 09:08:51.468335,Full stack
