Ciudad,Latitud,Longitud
Madrid,40.4165,-3.70256
San Roque,-25.87559,-57.29751
Málaga,36.72016,-4.42034
Las Palmas de Gran Canaria,28.09973,-15.41343
Lleida,41.61674,0.62218
Barcelona,41.38879,2.15899
Alcalá de Guadaíra,37.33791,-5.83951
Aranguren,42.77889,-1.57726
Albacete,38.99424,-1.85643
Tarragona,41.11905,1.24544
Nigrán,42.14153,-8.80656
Egüés,42.82562,-1.61671
Puerto del Rosario,28.50038,-13.86272
Santander,43.46472,-3.80444
Zaragoza,41.65606,-0.87734
Cornellà de Llobregat,41.35,2.08333
Gijón,43.53573,-5.66152
Valladolid,41.65518,-4.72372
Benicasim/Benicàssim,40.05,0.06667
Las Rozas de Madrid,40.49292,-3.87371
Banyoles,42.11667,2.76667
Villanueva del Pardillo,40.49106,-3.96849
Donostia-San Sebastián,43.31283,-1.97499
Sevilla,37.38283,-5.97317
Montmeló,41.55002,2.2419
Tomelloso,39.15759,-3.02156
Valencia,10.16202,-68.00765
Alicante/Alacant,38.34517,-0.48149
Sant Feliu de Llobregat,41.38333,2.05
Pamplona/Iruña,42.81687,-1.64323
Molins de Rei,41.41667,2.01667
Almussafes,39.28333,-0.41667
Balaguer,41.79117,0.81094
Pamplona,42.81687,-1.64323
Torrelavega,43.34943,-4.04785
Alberic,48.94669,-72.83394
Manzanares El Real,40.74064,-3.90053
Rubí,41.49226,2.03305
Santa Maria de Palautordera,41.69417,2.44566
Pozuelo de Alarcón,40.43293,-3.81338
Girona,41.98311,2.82493
Utebo,41.70826,-0.99916
Cerdanyola del Vallès,41.49109,2.14079
Torrejón de Ardoz,40.45535,-3.46973
L'Hospitalet de Llobregat,41.35967,2.10028
Sant Cugat del Vallès,41.47063,2.08611
Murcia,37.98704,-1.13004
Burlada/Burlata,42.82484,-1.61522
Badalona,41.45004,2.24741
San Agustín del Guadalix,40.67882,-3.61639
A Coruña,43.37135,-8.396
Getafe,40.30571,-3.73295
Viveiro,43.6555,-7.58279
Mataró,41.54211,2.4445
Logroño,42.46667,-2.45
Castelldefels,41.27794,1.97033
Solo teletrabajo,,
Granada,12.11667,-61.66667
Alcobendas,40.54746,-3.64197
Palma de Mallorca,39.56939,2.65024
Bilbao,43.26271,-2.92528
San Fernando,10.27969,-61.46835
Gandia,38.96667,-0.18333
Vic,41.93012,2.25486
Canovelles,41.61667,2.28333
España,40,-4
Lliçà de Vall,41.59054,2.24121
Tres Cantos,-28.56607,-52.8465
San Cristóbal de La Laguna,28.4853,-16.32014
Artea,43.12873,-2.79347
Manresa,41.72815,1.82399
Palol de Revardit,42.06667,2.8
Binaced,41.82564,0.20084
100% Teletrabajo,,
Mengíbar,37.96978,-3.80884
Riudellots de la Selva,41.89327,2.80452
Badajoz,38.87789,-6.97061
Estepa,37.31116,-4.88297
Úbeda,38.01328,-3.3705
Bell-Lloc d'Urgell,41.63333,0.78333
Reus,41.15612,1.10687
Terrassa,41.56667,2.01667
Puerto Real,36.52819,-6.19011
Santa Perpètua de Mogoda,41.53333,2.18333
Oviedo,43.36029,-5.84476
Llanera,43.44263,-5.85735
Leganés,40.32718,-3.7635
Olot,42.18096,2.49012
Córdoba,-31.4135,-64.18105
Santa Oliva,41.25357,1.55086
Novelda,38.38479,-0.76773
San Fernando de Henares,40.42386,-3.53261
Dénia,38.84078,0.10574
Cáceres,39.47649,-6.37224
Santa Cruz de Tenerife,28.46824,-16.25462
Igualada,41.58098,1.6172
Avilés,43.55473,-5.92483
Abrera,41.51682,1.901
Montilla,37.58627,-4.63805
Esplugues de Llobregat,41.37732,2.08809
León,12.43787,-86.87804
Ciudad Real,38.98626,-3.92907
Vitoria-Gasteiz,42.84998,-2.67268
Xàtiva,38.99042,-0.51852
Sant Boi de Llobregat,41.34357,2.03659
Lliçà d'Amunt,41.61667,2.23333
Viladecans,41.31405,2.01427
Vigo,42.23282,-8.72264
Viator,36.90468,-2.39454
Majadahonda,40.47353,-3.87182
Dos Hermanas,37.28287,-5.92088
Mairena del Aljarafe,37.34461,-6.06391
Águilas,37.4063,-1.58289
Jerez de la Frontera,36.68645,-6.13606
El Prat de Llobregat,41.32784,2.09472
